Nama Instansi,Nama Satuan Kerja,Kode Paket,Kode RUP,Tahun Anggaran,Sumber Transaksi,Sumber Dana,Nama Penyedia,Metode Pengadaan,Jenis Pengadaan,Nama Paket,Status Paket,Total Nilai (Rp),Nilai PDN (Rp)
KAB. MAJALENGKA,DINAS KESEHATAN - 1.02.0.00.0.00.01.0000,915790,34907363,2022,E-Katalog 5.0,APBD,PT. MEGAH MEDIKA PHARMA,E-Purchasing,Pengadaan Barang,POLYWIN IV CANNULA 18G,MELAKUKAN PENGIRIMAN DAN PENERIMAAN,10223100,0
KAB. MAJALENGKA,DINAS PEKERJAAN UMUM DAN TATA RUANG - 1.03.0.00.0.00.01.0000,1533253,32084995,2022,Pencatatan,APBD,,Pengadaan Langsung,Pekerjaan Konstruksi,Belanja Modal Jalan Kabupaten (Pemeliharaan Jalan Pilangsari - Babajurang (APBD)),PAKET SELESAI,199232000,199232000
KAB. MAJALENGKA,DINAS PENDIDIKAN - 1.01.0.00.0.00.01.0000,1313253,34712402,2022,Pencatatan,APBD,CV. NIZZA PUTRI,Pengadaan Langsung,Pekerjaan Konstruksi,Belanja Modal Bangunan Gedung Tempat Pendidikan,PAKET SELESAI,85789000,85789000
KAB. MAJALENGKA,DINAS KESEHATAN - 1.02.0.00.0.00.01.0000,1402165,35361223,2022,E-Katalog 5.0,APBD,PT ARTHA MEDIKA SENTOSA,E-Purchasing,Pengadaan Barang,Metzenbaum Scissors Sh/Sh Str 18Cm,PROSES KONTRAK PPK,1379144,0
KAB. MAJALENGKA,RUMAH SAKIT UMUM DAERAH MAJALENGKA - 1.02.0.00.0.00.02.0000,1820899,34612806,2022,E-Katalog 5.0,APBD,PT Jayamas Medica Industri,E-Purchasing,Pengadaan Barang,Patient Monitor Cuff Manset Dewasa,PROSES KONTRAK PPK,126096,126096
KAB. MAJALENGKA,RUMAH SAKIT UMUM DAERAH CIDERES - 1.02.0.00.0.00.03.0000,1261059,33717063,2022,E-Katalog 5.0,BLUD,PT. MITRA FAJAR SELARAS,E-Purchasing,Pengadaan Barang,JEIL Surgical Instrument - Cannula,PAKET SELESAI,2016782,0
KAB. MAJALENGKA,DINAS PEKERJAAN UMUM DAN TATA RUANG - 1.03.0.00.0.00.01.0000,1469253,31881905,2022,Pencatatan,APBD,,Pengadaan Langsung,Pekerjaan Konstruksi,Belanja Modal Jalan Kabupaten (Pemeliharaan Jalan Ciomas - Padahanten (APBD)),PAKET SELESAI,199282000,199282000
KAB. MAJALENGKA,RUMAH SAKIT UMUM DAERAH MAJALENGKA - 1.02.0.00.0.00.02.0000,1779432,34612679,2022,E-Katalog 5.0,APBD,P.T. Dexa Medica,E-Purchasing,Pengadaan Barang,Pioglitazone/ pioglitazone hydrochloride (HCl)/ pioglitazon tablet 15 mg,PROSES KONTRAK PPK,2956770,2956770
KAB. MAJALENGKA,DINAS PENDIDIKAN - 1.01.0.00.0.00.01.0000,1249253,34081405,2022,Pencatatan,APBD,CV DEVA PUTRA,Pengadaan Langsung,Pekerjaan Konstruksi,Belanja Modal Bangunan Gedung Tempat Pendidikan,PAKET SELESAI,199877000,199877000
KAB. MAJALENGKA,RUMAH SAKIT UMUM DAERAH MAJALENGKA - 1.02.0.00.0.00.02.0000,958502,34612679,2022,E-Katalog 5.0,APBD,P.T. Dexa Medica,E-Purchasing,Pengadaan Barang,Propylthiouracil/ Propiltiourasil tablet/kapsul/kaplet 100 mg,PROSES KONTRAK PPK,1540000,1540000
KAB. MAJALENGKA,DINAS PEKERJAAN UMUM DAN TATA RUANG - 1.03.0.00.0.00.01.0000,1690253,37413449,2022,Pencatatan,APBDP,,Pengadaan Langsung,Pekerjaan Konstruksi,Belanja Modal Jalan Kabupaten (Rehabilitasi Jalan Ciborelang - Palabuan XI Kab. Majalengka (Pemeliharaan Jalan Ciborelang -Palabuan XI Kab. Majalengka) (Bankeu Provinsi)),PAKET SELESAI,199258000,199258000
KAB. MAJALENGKA,RUMAH SAKIT UMUM DAERAH MAJALENGKA - 1.02.0.00.0.00.02.0000,2127829,34612679,2022,E-Katalog 5.0,APBD,P.T. Dexa Medica,E-Purchasing,Pengadaan Barang,Propylthiouracil/ Propiltiourasil tablet/kapsul/kaplet 100 mg,PROSES KONTRAK PPK,385000,385000
KAB. MAJALENGKA,RUMAH SAKIT UMUM DAERAH MAJALENGKA - 1.02.0.00.0.00.02.0000,1210624,34612679,2022,E-Katalog 5.0,APBD,PT. PRIMESA LABORATORIES INDONESIA,E-Purchasing,Pengadaan Barang,GOMINO,PROSES KONTRAK PPK,29297340,29297340
KAB. MAJALENGKA,RUMAH SAKIT UMUM DAERAH MAJALENGKA - 1.02.0.00.0.00.02.0000,1206738,34612806,2022,E-Katalog 5.0,APBD,PT. ESSITY HYGIENE AND HEALTH INDONESIA,E-Purchasing,Pengadaan Barang,LEUKOPLAST FIXOMULL Stretch 10cm x 5m,PROSES KONTRAK PPK,7175000,0
KAB. MAJALENGKA,RUMAH SAKIT UMUM DAERAH CIDERES - 1.02.0.00.0.00.03.0000,1491981,33717354,2022,E-Katalog 5.0,BLUD,PT. Global Promedika Services,E-Purchasing,Pengadaan Barang,Neopuff / Pulmonary Resuscitator (Jasa Pengujian dan/atau Kalibrasi Alat Kesehatan) GPS-098,MELAKUKAN PENGIRIMAN DAN PENERIMAAN,1640000,1640000
KAB. MAJALENGKA,DINAS KESEHATAN - 1.02.0.00.0.00.01.0000,904749,34907363,2022,E-Katalog 5.0,APBD,PT Jayamas Medica Industri,E-Purchasing,Pengadaan Barang,Uro One Foley Catheter FR 20,MELAKUKAN PENGIRIMAN DAN PENERIMAAN,2492600,2492600
KAB. MAJALENGKA,DINAS PEKERJAAN UMUM DAN TATA RUANG - 1.03.0.00.0.00.01.0000,1512253,32029681,2022,Pencatatan,APBD,,Pengadaan Langsung,Pekerjaan Konstruksi,Belanja Modal Jalan Kabupaten (Pemeliharaan Jalan Maodin - Sukajaya (APBD)),PAKET SELESAI,199235000,199235000
KAB. MAJALENGKA,DINAS PENDIDIKAN - 1.01.0.00.0.00.01.0000,1357253,34081659,2022,Pencatatan,APBD,CV SURYA PUTRA MANDIRI,Pengadaan Langsung,Pekerjaan Konstruksi,Belanja Modal Bangunan Gedung Tempat Pendidikan,PAKET SELESAI,199829000,199829000
KAB. MAJALENGKA,RUMAH SAKIT UMUM DAERAH CIDERES - 1.02.0.00.0.00.03.0000,1261059,33717063,2022,E-Katalog 5.0,BLUD,PT. MITRA FAJAR SELARAS,E-Purchasing,Pengadaan Barang,JEIL Surgical Instrument - Maxi Plate Cutter,PAKET SELESAI,5740193,0
KAB. MAJALENGKA,DINAS KESEHATAN - 1.02.0.00.0.00.01.0000,1493161,35361223,2022,E-Katalog 5.0,APBD,PT. Likuid Pharmalab Indonesia,E-Purchasing,Pengadaan Barang,Masker,PROSES KONTRAK PPK,1120000,1120000
KAB. MAJALENGKA,RUMAH SAKIT UMUM DAERAH CIDERES - 1.02.0.00.0.00.03.0000,1247320,33717063,2022,E-Katalog 5.0,BLUD,PT. PRO HEALTH INTERNATIONAL,E-Purchasing,Pengadaan Barang,"FLWMTR,O2,1/8 FNPT 15LPM 50PSI Set Autoclavable",MELAKUKAN PENGIRIMAN DAN PENERIMAAN,59455650,0
KAB. MAJALENGKA,RUMAH SAKIT UMUM DAERAH MAJALENGKA - 1.02.0.00.0.00.02.0000,1180485,34612679,2022,E-Katalog 5.0,APBD,P.T. Dexa Medica,E-Purchasing,Pengadaan Barang,Clozapine/ Klozapin tablet/kapsul/kaplet 100 mg,PROSES KONTRAK PPK,9969003,9969003
KAB. MAJALENGKA,DINAS PENDIDIKAN - 1.01.0.00.0.00.01.0000,1243253,34081336,2022,Pencatatan,APBD,CV TIGA DARA,Pengadaan Langsung,Pekerjaan Konstruksi,Belanja Modal Bangunan Gedung Tempat Pendidikan,PAKET SELESAI,199814000,199814000
KAB. MAJALENGKA,DINAS PEKERJAAN UMUM DAN TATA RUANG - 1.03.0.00.0.00.01.0000,1032253,34763937,2022,Pencatatan,APBD,,Pengadaan Langsung,Pekerjaan Konstruksi,Belanja Modal Jembatan pada Jalan Kabupaten (Rehabilitasi Jembatan Cikawati (DAU)),PAKET SELESAI,198527000,198527000
KAB. MAJALENGKA,RUMAH SAKIT UMUM DAERAH CIDERES - 1.02.0.00.0.00.03.0000,1261059,33717063,2022,E-Katalog 5.0,BLUD,PT. MITRA FAJAR SELARAS,E-Purchasing,Pengadaan Barang,JEIL Surgical Instrument - Small Grasping Forceps,PAKET SELESAI,264027,0
KAB. MAJALENGKA,RUMAH SAKIT UMUM DAERAH MAJALENGKA - 1.02.0.00.0.00.02.0000,779295,34612679,2022,E-Katalog 5.0,APBD,P.T. Dexa Medica,E-Purchasing,Pengadaan Barang,Spironolactone/ Spironolakton tablet/kapsul/kaplet 25 mg,PROSES KONTRAK PPK,475000,475000
KAB. MAJALENGKA,DINAS PEKERJAAN UMUM DAN TATA RUANG - 1.03.0.00.0.00.01.0000,1036253,34764382,2022,Pencatatan,APBD,CV.RESA JAYA MANDIRI,Pengadaan Langsung,Pekerjaan Konstruksi,Belanja Modal Jembatan pada Jalan Kabupaten (Rehabilitasi Jembatan Cisusukan (DAU)),PAKET SELESAI,198320000,198320000
KAB. MAJALENGKA,RUMAH SAKIT UMUM DAERAH MAJALENGKA - 1.02.0.00.0.00.02.0000,1361234,34612806,2022,E-Katalog 5.0,APBD,PT.TOP POINT MEDICAL,E-Purchasing,Pengadaan Barang,DISPOSABLE SYRINGE WITH NEEDLE 3 ML,MELAKUKAN PENGIRIMAN DAN PENERIMAAN,12840000,12840000
KAB. MAJALENGKA,DINAS KEPENDUDUKAN DAN PENCATATAN SIPIL - 2.10.1,344410,33771855,2022,E-Katalog 5.0,APBD,BERKAH CAHAYA ABADI,E-Purchasing,Pengadaan Barang,Ribbon Color YMCKO R5FP00308,PAKET SELESAI,243200000,0
KAB. MAJALENGKA,DINAS PEKERJAAN UMUM DAN TATA RUANG - 1.03.0.00.0.00.01.0000,1785253,37695959,2022,Pencatatan,APBDP,,Pengadaan Langsung,Pekerjaan Konstruksi,Belanja Modal Jalan Kabupaten (Pemeliharaan Jalan Loji - Ligung (APBD P)),PAKET SELESAI,199254000,199254000
KAB. MAJALENGKA,DINAS KESEHATAN - 1.02.0.00.0.00.01.0000,1354343,35440151,2022,E-Katalog 5.0,APBD,PT ARTHA MEDIKA SENTOSA,E-Purchasing,Pengadaan Barang,Metzenbaum Scissors Bl/Bl Str 18Cm,PROSES KONTRAK PPK,1375706,0
KAB. MAJALENGKA,DINAS PENDIDIKAN - 1.01.0.00.0.00.01.0000,1159253,34705752,2022,Pencatatan,APBD,CV GUMILANG SARI,Pengadaan Langsung,Pekerjaan Konstruksi,Belanja Modal Bangunan Gedung Tempat Pendidikan,PAKET SELESAI,36500000,36500000
KAB. MAJALENGKA,RUMAH SAKIT UMUM DAERAH MAJALENGKA - 1.02.0.00.0.00.02.0000,1779432,34612679,2022,E-Katalog 5.0,APBD,P.T. Dexa Medica,E-Purchasing,Pengadaan Barang,Atorvastatin/ Atorvastatin Calcium Trihydrate tablet salut selaputl/kaplet salut selaput 20 mg,PROSES KONTRAK PPK,1863330,1863330
KAB. MAJALENGKA,RUMAH SAKIT UMUM DAERAH MAJALENGKA - 1.02.0.00.0.00.02.0000,779282,34612679,2022,E-Katalog 5.0,APBD,PT. Hexpharm Jaya Laboratories,E-Purchasing,Pengadaan Barang,Lansoprazole/ Lansoprazol tablet/kapsul/kaplet 30 mg,PROSES KONTRAK PPK,11120000,11120000
KAB. MAJALENGKA,RUMAH SAKIT UMUM DAERAH MAJALENGKA - 1.02.0.00.0.00.02.0000,921694,34612679,2022,E-Katalog 5.0,APBD,PT. Hexpharm Jaya Laboratories,E-Purchasing,Pengadaan Barang,"Asam Mefenamat/Mefenamic acid tablet/kapsul/kaplet/kaptab 500 mg, kemasan strip/blister (G)",PROSES KONTRAK PPK,1665000,1665000
KAB. MAJALENGKA,RUMAH SAKIT UMUM DAERAH MAJALENGKA - 1.02.0.00.0.00.02.0000,1180485,34612679,2022,E-Katalog 5.0,APBD,P.T. Dexa Medica,E-Purchasing,Pengadaan Barang,Ciprofloxacin hydrochloride(HCl)/ Ciprofloxacin Lactate/ Ciprofloxacin/ Siprofloksasin inf 2 mg/ml,PROSES KONTRAK PPK,2204400,2204400
KAB. MAJALENGKA,DINAS PEKERJAAN UMUM DAN TATA RUANG - 1.03.0.00.0.00.01.0000,1791253,37659208,2022,Pencatatan,APBDP,CV. GIRI LUSI,Pengadaan Langsung,Pekerjaan Konstruksi,Belanja Modal Jalan Kabupaten (Pemeliharaan Jalan Akses Cinenjo - Argasari - Legasari (APBD P)),PAKET SELESAI,199239000,199239000
KAB. MAJALENGKA,RUMAH SAKIT UMUM DAERAH CIDERES - 1.02.0.00.0.00.03.0000,1595223,33717354,2022,E-Katalog 5.0,BLUD,PT DEKA SARI PERKASA,E-Purchasing,Pengadaan Barang,STOOL C TYPE STOOL-04,MELAKUKAN PENGIRIMAN DAN PENERIMAAN,1243500,1243500
KAB. MAJALENGKA,RUMAH SAKIT UMUM DAERAH MAJALENGKA - 1.02.0.00.0.00.02.0000,1180485,34612679,2022,E-Katalog 5.0,APBD,P.T. Dexa Medica,E-Purchasing,Pengadaan Barang,Gabapentin tablet/kapsul/kaplet 300 mg,PROSES KONTRAK PPK,675150,675150
KAB. MAJALENGKA,DINAS KESEHATAN - 1.02.0.00.0.00.01.0000,837243,35216741,2022,E-Katalog 5.0,APBD,PT Sadamaya Graha Teknologi,E-Purchasing,Pengadaan Barang,SAGA Alat Ukur Tinggi Badan AU AL-01,PAKET SELESAI,460350000,460350000
KAB. MAJALENGKA,RUMAH SAKIT UMUM DAERAH MAJALENGKA - 1.02.0.00.0.00.02.0000,921694,34612679,2022,E-Katalog 5.0,APBD,PT. Hexpharm Jaya Laboratories,E-Purchasing,Pengadaan Barang,Loratadine/ Loratadin tablet/kapsul/kaplet 10 mg,PROSES KONTRAK PPK,109000,109000
KAB. MAJALENGKA,DINAS PENDIDIKAN - 1.01.0.00.0.00.01.0000,5275253,34890737,2022,Tender,APBD,CV. YOGA JAYA,Tender,Pekerjaan Konstruksi,Belanja Modal Bangunan Gedung Tempat Pendidikan (Rehabilitasi Ruang Guru Dengan Tingkat Kerusakan Minimal Sedang Beserta Perabotnya) (DAK FISIK) Lokasi SMP Negeri 2 Ligung,SELESAI,259317000,259317000
KAB. MAJALENGKA,DINAS KESEHATAN - 1.02.0.00.0.00.01.0000,2062253,37665214,2022,Pencatatan,APBDP,CV. AURA MULIA ABADI,Pengadaan Langsung,Pekerjaan Konstruksi,Belanja Modal Gedung Instalasi Puskesmas Bantarujeg,PAKET SELESAI,159374000,159374000
KAB. MAJALENGKA,DINAS KESEHATAN - 1.02.0.00.0.00.01.0000,1836962,35382684,2022,E-Katalog 5.0,APBD,P.T. Dexa Medica,E-Purchasing,Pengadaan Barang,Ketorolak/ Ketorolac / Ketorolac trometamol/ Ketorolac tromethamine inj 30 mg/ml (3%),PROSES KONTRAK PPK,251700,251700
KAB. MAJALENGKA,DINAS PENDIDIKAN - 1.01.0.00.0.00.01.0000,2127553,37707761,2022,E-Katalog 5.0,APBD,BERKAH CAHAYA ABADI,E-Purchasing,Pengadaan Barang,Interactive Display SML75IDN9,PAKET SELESAI,3495620000,3495620000
KAB. MAJALENGKA,RUMAH SAKIT UMUM DAERAH MAJALENGKA - 1.02.0.00.0.00.02.0000,1350957,34612679,2022,E-Katalog 5.0,APBD,PT Otsuka Indonesia,E-Purchasing,Pengadaan Barang,"Asetat Ringer / Ringer asetat, @ 500 mL.",MELAKUKAN PENGIRIMAN DAN PENERIMAAN,9680000,9680000
KAB. MAJALENGKA,RUMAH SAKIT UMUM DAERAH MAJALENGKA - 1.02.0.00.0.00.02.0000,2127814,34612679,2022,E-Katalog 5.0,APBD,PT. SATORIA ANEKA INDUSTRI,E-Purchasing,Pengadaan Barang,"Air untuk injeksi, cairan inj 25 mL",PROSES KONTRAK PPK,5300000,5300000
KAB. MAJALENGKA,KECAMATAN ARGAPURA - 7.01.0.00.0.00.19.0000,1880253,37347168;37347212,2022,Pencatatan,APBDP,,Pengadaan Langsung,Pengadaan Barang,"Belanja Pakaian Batik Tradisional,Belanja Pakaian Adat Daerah",PAKET SELESAI,12000000,0
KAB. MAJALENGKA,RUMAH SAKIT UMUM DAERAH MAJALENGKA - 1.02.0.00.0.00.02.0000,802578,34612806,2022,E-Katalog 5.0,APBD,PT. Bio Axion Healthindo,E-Purchasing,Pengadaan Barang,"STOMACH TUBE, 85cm, no. 18",PROSES KONTRAK PPK,765900,0
KAB. MAJALENGKA,RUMAH SAKIT UMUM DAERAH MAJALENGKA - 1.02.0.00.0.00.02.0000,779510,34612679,2022,E-Katalog 5.0,APBD,PT.Phapros Tbk,E-Purchasing,Pengadaan Barang,Methylprednisolone Sodium Succinate/ Metilprednisolon/ Methylprednisolone inj 125 mg,PROSES KONTRAK PPK,3118500,3118500
KAB. MAJALENGKA,RUMAH SAKIT UMUM DAERAH MAJALENGKA - 1.02.0.00.0.00.02.0000,1174104,34612679,2022,E-Katalog 5.0,APBD,PT. Mersifarma Tirmaku Mercusana,E-Purchasing,Pengadaan Barang,Trifluoperazine hydrochloride (HCl)/ Trifluoperazin tablet salut selaput/kaplet salut selaput 5 mg,PROSES KONTRAK PPK,1100000,1100000
KAB. MAJALENGKA,DINAS KESEHATAN - 1.02.0.00.0.00.01.0000,836963,34907363,2022,E-Katalog 5.0,APBD,PT. Likuid Pharmalab Indonesia,E-Purchasing,Pengadaan Barang,Medika Povidine 10% ukuran 1 L,MELAKUKAN PENGIRIMAN DAN PENERIMAAN,15105000,15105000
KAB. MAJALENGKA,RUMAH SAKIT UMUM DAERAH MAJALENGKA - 1.02.0.00.0.00.02.0000,921725,34612679,2022,E-Katalog 5.0,APBD,PT. SATORIA ANEKA INDUSTRI,E-Purchasing,Pengadaan Barang,Glukosa larutan infus 5% 500 mL,PROSES KONTRAK PPK,3313500,3313500
KAB. MAJALENGKA,RUMAH SAKIT UMUM DAERAH MAJALENGKA - 1.02.0.00.0.00.02.0000,958502,34612679,2022,E-Katalog 5.0,APBD,P.T. Dexa Medica,E-Purchasing,Pengadaan Barang,Nicardipine hydrochloride (HCl)/ Nicardipine/ Nikardipin inj 1 mg/mL,PROSES KONTRAK PPK,374900,374900
KAB. MAJALENGKA,DINAS KESEHATAN - 1.02.0.00.0.00.01.0000,1169516,35381571,2022,E-Katalog 5.0,APBD,PT. RAJAWALI NUSINDO,E-Purchasing,Pengadaan Barang,SILK BLACK 3/0 DS 12 MM Braided Nonabsorbable Surgical Suture,PROSES KONTRAK PPK,534360,0
KAB. MAJALENGKA,SEKRETARIAT DAERAH - ,1783253,38437824,2022,Pencatatan,APBD,CV. NABILLA,Pengadaan Langsung,Pekerjaan Konstruksi,Belanja Bahan-Bahan Bangunan dan Konstruksi (Bangunan Setda),PAKET SELESAI,173097650,173097650
KAB. MAJALENGKA,RUMAH SAKIT UMUM DAERAH MAJALENGKA - 1.02.0.00.0.00.02.0000,2127864,34612679,2022,E-Katalog 5.0,APBD,PT.Phapros Tbk,E-Purchasing,Pengadaan Barang,Ampisilin/Ampicillin injeksi 1000 mg (i.v),PROSES KONTRAK PPK,12886500,12886500
KAB. MAJALENGKA,RUMAH SAKIT UMUM DAERAH MAJALENGKA - 1.02.0.00.0.00.02.0000,1208356,34612679,2022,E-Katalog 5.0,APBD,PT Jayamas Medica Industri,E-Purchasing,Pengadaan Barang,Nebulizer Mask Set Anak,PROSES KONTRAK PPK,3894000,3894000
KAB. MAJALENGKA,RUMAH SAKIT UMUM DAERAH MAJALENGKA - 1.02.0.00.0.00.02.0000,1206738,34612806,2022,E-Katalog 5.0,APBD,PT. ESSITY HYGIENE AND HEALTH INDONESIA,E-Purchasing,Pengadaan Barang,LEUKOPLAST 5cm x 4.5m Hospital,PROSES KONTRAK PPK,154000,0
KAB. MAJALENGKA,DINAS KESEHATAN - 1.02.0.00.0.00.01.0000,1353609,35440151,2022,E-Katalog 5.0,APBD,MOFTECH MEDICAL SYSTEM,E-Purchasing,Pengadaan Barang,"Standard Tissue Forceps 18 cm Straight, 1x2 Teeth",PROSES KONTRAK PPK,472300,472300
KAB. MAJALENGKA,DINAS KESEHATAN - 1.02.0.00.0.00.01.0000,1331528,35345369,2022,E-Katalog 5.0,APBD,PT. COBRA DENTAL INDONESIA,E-Purchasing,Pengadaan Barang,Bur Carbide Highspeed Round - Student Set FG (terlampir),PROSES KONTRAK PPK,420000,0
KAB. MAJALENGKA,RUMAH SAKIT UMUM DAERAH MAJALENGKA - 1.02.0.00.0.00.02.0000,921745,34612806,2022,E-Katalog 5.0,APBD,PT.TOP POINT MEDICAL,E-Purchasing,Pengadaan Barang,DISPOSABLE SYRINGE WITH NEEDLE 1 ML,PROSES KONTRAK PPK,4575000,4575000
KAB. MAJALENGKA,RUMAH SAKIT UMUM DAERAH CIDERES - 1.02.0.00.0.00.03.0000,1491981,33717354,2022,E-Katalog 5.0,BLUD,PT. Global Promedika Services,E-Purchasing,Pengadaan Barang,Bed Side Monitor / Patient Monitor / Vital Sign Monitor (Jasa Pengujian dan/atau Kalibrasi Alat Kesehatan) GPS-013,MELAKUKAN PENGIRIMAN DAN PENERIMAAN,48282000,48282000
KAB. MAJALENGKA,DINAS PEKERJAAN UMUM DAN TATA RUANG - 1.03.0.00.0.00.01.0000,1024253,31088711,2022,Pencatatan,APBD,,Pengadaan Langsung,Jasa Konsultansi Badan Usaha Non Konstruksi,Belanja Jasa Konsultansi Perencanaan Rekayasa-Jasa Desain Rekayasa untukPekerjaan Teknik Sipil Transportasi (Penyusunan DED Perencanaan Teknis Jalan Akses Kampus POLMAN II (DAU)),PAKET SELESAI,99418000,99418000
KAB. MAJALENGKA,RUMAH SAKIT UMUM DAERAH MAJALENGKA - 1.02.0.00.0.00.02.0000,1544182,34612679,2022,E-Katalog 5.0,APBD,PT.Phapros Tbk,E-Purchasing,Pengadaan Barang,Dexamethason Sodium Phosphate/ Deksamethason/ Deksametason injeksi 5 mg/mL,PROSES KONTRAK PPK,646800,646800
KAB. MAJALENGKA,DINAS KESEHATAN - 1.02.0.00.0.00.01.0000,908350,35211205,2022,E-Katalog 5.0,APBD,PT. Mindray Medical Indonesia,E-Purchasing,Pengadaan Barang,MINDRAY Digital Ultrasonic Diagnostic Imaging System - DP 20T with 2 Probe with Trolley,MELAKUKAN PENGIRIMAN DAN PENERIMAAN,910700000,910700000
KAB. MAJALENGKA,DINAS PEKERJAAN UMUM DAN TATA RUANG - 1.03.0.00.0.00.01.0000,1775253,37695289,2022,Pencatatan,APBDP,,Pengadaan Langsung,Pekerjaan Konstruksi,Belanja Modal Jalan Kabupaten ( Pemeliharaan Jalan Cipeundeuy - Sukadana (APBD P)),PAKET SELESAI,199252000,199252000
KAB. MAJALENGKA,RUMAH SAKIT UMUM DAERAH MAJALENGKA - 1.02.0.00.0.00.02.0000,2064492,36528611,2022,E-Katalog 5.0,BLUD,PT. PRIMESA LABORATORIES INDONESIA,E-Purchasing,Pengadaan Barang,MESA KANTONG PLASTIK HITAM 60 x 100 cm,MELAKUKAN PENGIRIMAN DAN PENERIMAAN,27750000,27750000
KAB. MAJALENGKA,RUMAH SAKIT UMUM DAERAH MAJALENGKA - 1.02.0.00.0.00.02.0000,1369193,34612806,2022,E-Katalog 5.0,APBD,PT Jayamas Medica Industri,E-Purchasing,Pengadaan Barang,Nebulizer Mask Set Dewasa,PROSES KONTRAK PPK,4867500,4867500
KAB. MAJALENGKA,DINAS KESEHATAN - 1.02.0.00.0.00.01.0000,2063253,37664498,2022,Pencatatan,APBDP,PG.00.01.03/16/DPLH/PKM Bantarujeg,Pengadaan Langsung,Jasa Konsultansi Badan Usaha Non Konstruksi,Belanja Jasa Konsultasi Lainnya-Jasa Konsultasi Lingkungan Puskesmas Bantarujeg,PAKET SELESAI,44897000,44897000
KAB. MAJALENGKA,RUMAH SAKIT UMUM DAERAH MAJALENGKA - 1.02.0.00.0.00.02.0000,921745,34612806,2022,E-Katalog 5.0,APBD,PT.TOP POINT MEDICAL,E-Purchasing,Pengadaan Barang,DISPOSABLE SYRINGE WITH NEEDLE 50 ML,PROSES KONTRAK PPK,691050,691050
KAB. MAJALENGKA,DINAS KESEHATAN - 1.02.0.00.0.00.01.0000,1194696,35391150,2022,E-Katalog 5.0,APBD,SINAR PANCA MEDIKA,E-Purchasing,Pengadaan Barang,SPMed Surgical Face Mask Headloop,MELAKUKAN PENGIRIMAN DAN PENERIMAAN,1364000,1364000
KAB. MAJALENGKA,DINAS PARIWISATA DAN KEBUDAYAAN - 3.26.2.22.0.00.01.0000,2089721,37553745,2022,E-Katalog 5.0,APBDP,BROTHERSINDO SAUDARA EMAS,E-Purchasing,Pengadaan Barang,TL-SG1218MP(UN),PROSES KONTRAK PPK,2696600,0
KAB. MAJALENGKA,RUMAH SAKIT UMUM DAERAH MAJALENGKA - 1.02.0.00.0.00.02.0000,779295,34612679,2022,E-Katalog 5.0,APBD,P.T. Dexa Medica,E-Purchasing,Pengadaan Barang,Bisoprolol/Bisoprolol Fumarate tablet salut selaput/kaplet salut selaput 5 mg,PROSES KONTRAK PPK,123300,123300
KAB. MAJALENGKA,DINAS PEKERJAAN UMUM DAN TATA RUANG - 1.03.0.00.0.00.01.0000,1475253,31885677,2022,Pencatatan,APBD,,Pengadaan Langsung,Pekerjaan Konstruksi,Belanja Modal Jalan Kabupaten (Pemeliharaan Jalan Garawangi - Karangasem (APBD)),PAKET SELESAI,199240000,199240000
KAB. MAJALENGKA,DINAS KESEHATAN - 1.02.0.00.0.00.01.0000,780249,35219456,2022,E-Katalog 5.0,APBD,P.T. Dexa Medica,E-Purchasing,Pengadaan Barang,"Methylergometrine Maleate/ Methylergometrine/ Metilergometrin inj 0,2 mg/ml",MELAKUKAN PENGIRIMAN DAN PENERIMAAN,10230000,10230000
KAB. MAJALENGKA,RUMAH SAKIT UMUM DAERAH CIDERES - 1.02.0.00.0.00.03.0000,1491981,33717354,2022,E-Katalog 5.0,BLUD,PT. Global Promedika Services,E-Purchasing,Pengadaan Barang,Lampu Operasi / Operating Lamp (Jasa Pengujian dan/atau Kalibrasi Alat Kesehatan) GPS-047,MELAKUKAN PENGIRIMAN DAN PENERIMAAN,5522000,5522000
KAB. MAJALENGKA,DINAS PARIWISATA DAN KEBUDAYAAN - 3.26.2.22.0.00.01.0000,2228445,37554504,2022,E-Katalog 5.0,APBDP,BROTHERSINDO SAUDARA EMAS,E-Purchasing,Pengadaan Barang,RALLY SYSTEM,PROSES KONTRAK PPK,43500000,0
KAB. MAJALENGKA,RUMAH SAKIT UMUM DAERAH MAJALENGKA - 1.02.0.00.0.00.02.0000,958502,34612679,2022,E-Katalog 5.0,APBD,P.T. Dexa Medica,E-Purchasing,Pengadaan Barang,Ondansetron hydrochloride (HCl)/ Ondansetron HCl dihydrate /Ondansetron inj 2 mg/mL,PROSES KONTRAK PPK,2619000,2619000
KAB. MAJALENGKA,RUMAH SAKIT UMUM DAERAH MAJALENGKA - 1.02.0.00.0.00.02.0000,1999585,37314611,2022,E-Katalog 5.0,APBDP,PT. BERJAYA MANDARIN OPTO-MEDIC,E-Purchasing,Pengadaan Barang,RUIYU Opthalmic Slit Lamp - SLM KD4,MELAKUKAN PENGIRIMAN DAN PENERIMAAN,101630000,0
KAB. MAJALENGKA,RUMAH SAKIT UMUM DAERAH MAJALENGKA - 1.02.0.00.0.00.02.0000,2127864,34612679,2022,E-Katalog 5.0,APBD,PT.Phapros Tbk,E-Purchasing,Pengadaan Barang,Kaptopril/ Captopril tablet/kapsul/kaplet 25 mg (G),PROSES KONTRAK PPK,525000,525000
